"user_agent","_count"
"Mozilla/5.0 (Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36 OPR/36.0.2128.0 OMI/4.8.0.129.JFK.695 TiVo, VirginMedia_STB_BCM7252S/20.12.1.RC12-VMB-11 (VirginMedia, TCDC68000, wireless)","7730"
"Dalvik/2.1.0 (Linux; U; Android 10; BRAVIA 4K VH2 Build/QTG3.200305.006.S292)","7434"
"Dalvik/2.1.0 (Linux; U; Android 9; UnionTV Build/PPR2.180905.006.A1)","7355"
"Dalvik/2.1.0 (Linux; U; Android 11; Sky Pod Build/RTT0.211009.001)","7028"
"Takin/3.0.0 (Linux arm ; U; en), FetchTV_STB_BCM7252S/3.7.10704 (FetchTV, M616T, Wireless)","6649"
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.47 Safari/537.36 CrKey/1.36.157768","6039"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A135F Build/TP1A.220624.014)","5988"
"Mozilla/5.0 (Linux; Android 12.0; Build/STTE.230319.008.R1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 CrKey/1.56.500000 DeviceType/AndroidTV","5664"
"Mozilla/5.0 (SMART-TV; LINUX; Tizen 7.0) AppleWebKit/537.36 (KHTML, like Gecko) 94.0.4606.31/7.0 TV Safari/537.36","5614"
"Dalvik/2.1.0 (Linux; U; Android 9; VEON 4K Android TV Build/PTO6.221014.001)","5503"
"Dalvik/2.1.0 (Linux; U; Android 9; BRAVIA 4K UR2 Build/PTT1.190515.001.S104)","5475"
"Mozilla/5.0 (Linux armv7l) AppleWebKit/602.1.28+ (KHTML, like Gecko) Version/9.1 Safari/601.5.17 HZN/5.02 (MN=DCX960-D;PC=EOSSTB;FV=DCX960__-mon-prd-02.02-163-ak-AL-20230510210000-na004;)","5344"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","5254"
"Dalvik/2.1.0 (Linux; U; Android 9; BRAVIA 4K GB Build/PTT1.190515.001.S52)","5179"
"Mozilla/5.0 (Linux; x86_64 GNU/Linux) AppleWebKit/601.1 (KHTML, like Gecko) Version/8.0 Safari/601.1 WPE Sky_OTT_RTD1319_2020/1.0.0 (Sky, XiOneUK, Wired)","4986"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G991B Build/TP1A.220624.014)","4919"
"Dalvik/2.1.0 (Linux; U; Android 8.0.0; BRAVIA 2015 Build/OPR2.170623.027.S16)","4872"
"Dalvik/2.1.0 (Linux; U; Android 11; Smart TV Build/AR2101)","4730"
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.9.7 Chrome/56.0.2924.122 Safari/537.36 Sky_STB_BCM7278_2019/1.0.0 (Sky, ES340UK, )","4644"
"Dalvik/2.1.0 (Linux; U; Android 11; BeyondTV Build/PPR1.180610.011)","4592"
"Dalvik/2.1.0 (Linux; U; Android 11; 4KTV-JUP Build/RTM2.210929.137)","4549"
"Dalvik/2.1.0 (Linux; U; Android 11; JVC 4K Smart TV NZ Build/RTT2.220103.001)","4523"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-S908E Build/TP1A.220624.014)","4398"
"Dalvik/2.1.0 (Linux; U; Android 10; BRAVIA 4K VH21 Build/QTG3.200305.006.S312)","4235"
"Dalvik/2.1.0 (Android TV; Android 10; Sony BRAVIA 4K VH2) 7plus/5.5.1","4197"
"Mozilla/5.0 (Linux; Tizen 2.3; SmartHub; SMART-TV; SmartTV; U; Maple2012) AppleWebKit/538.1+ (KHTML, like Gecko) TV Safari/538.1+","4187"
"Dalvik/2.1.0 (Linux; U; Android 11; BeyondTV2 Build/PPR1.180610.011)","4085"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-A125F Build/SP1A.210812.016)","4039"
"Dalvik/2.1.0 (Linux; U; Android 8.0.0; BRAVIA 4K 2015 Build/OPR2.170623.027.S16)","3948"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-X200 Build/TP1A.220624.014)","3922"
"","3868"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.065;7103-0003 4000-0000;) PanasonicSDK/2017","3865"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.065;7103-0003 0080-0000;) PanasonicSDK/2017","3770"
"Dalvik/2.1.0 (Linux; U; Android 11; SM-T510 Build/RP1A.200720.012)","3729"
"Dalvik/2.1.0 (Linux; U; Android 9; AI PONT Build/PTO1.210922.001)","3699"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A325F Build/TP1A.220624.014)","3586"
"Dalvik/2.1.0 (Linux; U; Android 9; MIBOX4 Build/PI)","3570"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A045F Build/TP1A.220624.014)","3536"
"Takin/3.0.0 (Linux arm ; U; en), FetchTV_STB_BCM7250/3.7.10689 (FetchTV, H626T, Wireless)","3493"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A235F Build/TP1A.220624.014)","3417"
"Dalvik/2.1.0 (Linux; U; Android 9; JVC EU 4K Android TV Build/PTO6.210414.001)","3416"
"Dalvik/2.1.0 (Linux; U; Android 8.0.0; Percee TV Build/OTT1.180130.001)","3352"
"Dalvik/2.1.0 (Linux; U; Android 12; Chromecast Build/STTE.221215.004.A1)","3332"
"Takin/3.0.0 (Linux arm ; U; en), FetchTV_STB_BCM7252S/3.7.10704 (FetchTV, M616T, Wired)","3258"
"Dalvik/2.1.0 (Linux; U; Android 10; BRAVIA 4K VH21 Build/QTG3.200305.006.S292)","3249"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G990E Build/TP1A.220624.014)","3201"
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.9.7 Chrome/56.0.2924.122 Safari/537.36 Sky_STB_ST412_2018/1.0.0 (Sky, ES130UK, )","3144"
"Roku/DVP-12.0 (12.0.0.4184-AE)","3133"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A127F Build/TP1A.220624.014)","3112"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G780G Build/TP1A.220624.014)","3055"
"Dalvik/2.1.0 (Linux; U; Android 9; AI PONT Build/PTO1.210908.002)","3046"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-S918B Build/TP1A.220624.014)","3038"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-T500 Build/SP1A.210812.016)","3019"
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.67","2951"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-S901E Build/TP1A.220624.014)","2901"
"Takin/3.0.0 (Linux arm ; U; en), FetchTV_STB_BCM7252S/3.7.10691 (FetchTV, M616T, Wireless)","2896"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G998B Build/TP1A.220624.014)","2879"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-G973F Build/SP1A.210812.016)","2878"
"Dalvik/2.1.0 (Android TV; Android 9; Sony BRAVIA 4K GB ATV3) 7plus/5.5.1","2867"
"Mozilla/5.0 (Linux armv7l) AppleWebKit/602.1.28+ (KHTML, like Gecko) Version/9.1 Safari/601.5.17 HZN/5.02 (MN=EOS-1008R;PC=EOSSTB;FV=EOS1008C-mon-prd-02.02-163-ak-AL-20230510210000-na001;)","2841"
"Dalvik/2.1.0 (Linux; U; Android 10; SM-G960F Build/QP1A.190711.020)","2769"
"Dalvik/2.1.0 (Linux; U; Android 11; SHIELD Android TV Build/RQ1A.210105.003)","2748"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.122;6403-0003 0000-0100;) PanasonicSDK/2017","2728"
